oid,dat,cuid,pay_amount,category,product,city,state,method
620,02-23-2011,4008316,55.06,Indoor Games,Ping Pong,Austin,Texas,credit
621,04-20-2011,4001821,87.8,Exercise & Fitness,Stopwatches,Anaheim,California,credit
622,12-20-2011,4006265,69.83,Outdoor Recreation,Motorsports,Milwaukee,Wisconsin,credit
623,01-10-2011,4007225,86.7,Outdoor Recreation,Disc Golf,Richmond  ,Virginia,credit
624,09-22-2011,4002934,69.46,Exercise & Fitness,Weightlifting Machines,Hampton  ,Virginia,credit
625,06-13-2011,4005583,176.7,Outdoor Recreation,Deck Shuffleboard,Milwaukee,Wisconsin,credit
626,08-01-2011,4008874,189.55,Outdoor Recreation,Golf,Anaheim,California,credit
627,01-07-2011,4005308,198.36,Combat Sports,Wrestling,Gresham,Oregon,credit
628,01-16-2011,4005801,107.37,Water Sports,Boating,Orlando,Florida,credit
629,09-19-2011,4004821,18.73,Exercise & Fitness,Yoga & Pilates,Montgomery,Alabama,credit
630,05-07-2011,4000104,99.16,Indoor Games,Foosball,Jacksonville ,Florida,credit
631,09-03-2011,4007913,185.4,Indoor Games,Billiards,Saint Paul,Minnesota,credit
632,06-18-2011,4002870,50.63,Exercise & Fitness,Weightlifting Machine Accessories,Des Moines,Iowa,credit
633,08-05-2011,4002199,29.82,Outdoor Recreation,Running,Omaha,Nebraska,credit
634,12-15-2011,4008410,71.05,Outdoor Recreation,Geocaching,Atlanta,Georgia,credit
635,12-03-2011,4003437,173.45,Team Sports,Basketball,Centennial,Colorado,credit
636,10-05-2011,4001676,93.97,Team Sports,Football,Clarksville,Tennessee,credit
637,09-12-2011,4008485,172.76,Water Sports,Whitewater Rafting,El Paso,Texas,credit
638,05-30-2011,4007941,110.78,Water Sports,Kitesurfing,San Francisco,California,credit
639,03-03-2011,4001117,113.92,Winter Sports,Downhill Skiing,Flint,Michigan,credit
640,08-17-2011,4000373,43.7,Indoor Games,Billiards,Stamford,Connecticut,credit
641,08-20-2011,4006035,16.27,Indoor Games,Billiards,Chattanooga,Tennessee,cash
642,06-18-2011,4004752,31.19,Exercise & Fitness,Abdominal Equipment,Nashville  ,Tennessee,cash
643,09-08-2011,4003414,15.85,Outdoor Recreation,Rock Climbing,Indianapolis ,Indiana,cash
644,11-25-2011,4003064,5.01,Jumping,Trampoline Accessories,New Orleans,Louisiana,cash
645,01-27-2011,4004810,47.74,Outdoor Recreation,Skateboarding,Huntsville,Alabama,cash
646,10-14-2011,4002525,176.01,Outdoor Play Equipment,Playhouses,Washington,District of Columbia,credit
647,06-01-2011,4003904,126.78,Team Sports,Hockey,Detroit,Michigan,credit
648,03-25-2011,4008884,40.78,Gymnastics,Gymnastics Bars,Birmingham,Alabama,cash
649,03-14-2011,4003847,96.28,Winter Sports,Bobsledding,Denver  ,Colorado,credit
650,01-09-2011,4004921,138.03,Water Sports,Scuba Diving & Snorkeling,Richmond  ,Virginia,credit
651,07-07-2011,4001709,104.02,Indoor Games,Ping Pong,McKinney,Texas,credit
652,03-17-2011,4006075,79.13,Team Sports,Softball,Des Moines,Iowa,credit
653,06-08-2011,4006837,55.28,Racquet Sports,Badminton,Los Angeles,California,credit
654,11-27-2011,4006703,195.48,Outdoor Recreation,Cycling,St. Petersburg,Florida,credit
655,11-18-2011,4008189,191.0,Team Sports,Curling,Houston,Texas,credit
656,02-26-2011,4009214,172.63,Winter Sports,Snowmobiling,Sunnyvale,California,credit
657,11-16-2011,4001454,126.66,Water Sports,Towed Water Sports,New York,New York,credit
658,09-20-2011,4005374,121.66,Water Sports,Towed Water Sports,Orange,California,credit
659,04-16-2011,4004470,34.33,Outdoor Recreation,Lawn Games,Lowell,Massachusetts,cash
660,10-05-2011,4003683,43.95,Team Sports,Lacrosse,Springfield,Illinois,cash
661,02-13-2011,4009765,35.98,Racquet Sports,Squash,Tampa,Florida,cash
662,02-06-2011,4009263,143.49,Exercise & Fitness,Abdominal Equipment,Salt Lake City,Utah,credit
663,11-11-2011,4000115,124.68,Team Sports,Indoor Volleyball,Scottsdale,Arizona,credit
664,09-27-2011,4000676,175.21,Combat Sports,Fencing,Cambridge,Massachusetts,credit
665,12-06-2011,4006558,120.43,Exercise & Fitness,Free Weight Bars,Dallas,Texas,credit
666,02-13-2011,4008396,133.53,Exercise & Fitness,Weightlifting Machines,Santa Ana,California,credit
667,08-27-2011,4002986,65.46,Exercise & Fitness,Weightlifting Machine Accessories,St. Petersburg,Florida,credit
668,08-01-2011,4007057,82.57,Exercise & Fitness,Weightlifting Belts,Stamford,Connecticut,credit
669,10-15-2011,4000162,168.26,Winter Sports,Snowboarding,Hartford,Connecticut,credit
670,03-08-2011,4008585,132.72,Exercise & Fitness,Weightlifting Machines,Tampa,Florida,credit
671,02-19-2011,4004528,60.68,Winter Sports,Cross-Country Skiing,Irvine,California,credit
672,02-23-2011,4000081,162.26,Water Sports,Swimming,Detroit,Michigan,credit
673,05-16-2011,4004227,130.85,Combat Sports,Martial Arts,Columbus,Ohio,credit
674,11-17-2011,4005120,131.99,Gymnastics,Balance Beams,Alexandria  ,Virginia,credit
675,12-10-2011,4008014,173.42,Winter Sports,Snowmobiling,Las Vegas,Nevada,credit
676,08-30-2011,4005675,65.57,Outdoor Recreation,Skating,Sacramento,California,credit
677,12-28-2011,4009548,109.7,Water Sports,Kitesurfing,Phoenix,Arizona,credit
678,06-27-2011,4009768,166.0,Exercise & Fitness,Gym Mats,Miami,Florida,credit
679,09-06-2011,4001836,108.81,Outdoor Recreation,Ice Climbing,Sunnyvale,California,credit
680,02-15-2011,4005150,47.47,Air Sports,Air Suits,Sunnyvale,California,cash
681,05-15-2011,4007587,108.15,Games,Card Games,Philadelphia,Pennsylvania,credit
682,03-09-2011,4002294,125.33,Exercise & Fitness,Weightlifting Belts,Denton,Texas,credit
683,02-24-2011,4002678,100.15,Outdoor Recreation,Geocaching,Midland,Texas,credit
684,09-22-2011,4008737,71.64,Games,Mahjong,Reno,Nevada,credit
685,04-02-2011,4004466,58.29,Team Sports,Softball,West Valley City,Utah,credit
686,05-13-2011,4004775,75.54,Outdoor Play Equipment,Water Tables,Chicago,Illinois,credit
687,05-09-2011,4000656,88.67,Games,Dice & Dice Sets,Oklahoma City,Oklahoma,credit
688,03-06-2011,4007597,79.24,Outdoor Recreation,Motorsports,Los Angeles,California,credit
689,03-27-2011,4009621,125.64,Outdoor Recreation,Ice Climbing,Las Vegas,Nevada,credit
690,09-08-2011,4001027,42.05,Outdoor Recreation,Running,Jacksonville ,Florida,cash
691,07-15-2011,4001184,122.14,Outdoor Play Equipment,Slides,Honolulu  ,Hawaii,credit
692,04-22-2011,4009023,199.17,Team Sports,Baseball,Berkeley,California,credit
693,07-05-2011,4003184,59.82,Exercise & Fitness,Weightlifting Belts,Madison,Wisconsin,credit
694,07-31-2011,4004695,198.85,Outdoor Play Equipment,Lawn Water Slides,Pittsburgh,Pennsylvania,credit
695,08-06-2011,4009507,59.03,Water Sports,Whitewater Rafting,San Antonio,Texas,credit
696,03-27-2011,4006721,124.08,Team Sports,Indoor Volleyball,Cambridge,Massachusetts,credit
697,05-15-2011,4007468,55.86,Outdoor Play Equipment,Outdoor Playsets,Cincinnati,Ohio,credit
698,01-03-2011,4008241,191.91,Water Sports,Boating,Gresham,Oregon,credit
699,08-18-2011,4006154,169.24,Gymnastics,Gymnastics Mats,Washington,District of Columbia,credit
700,11-22-2011,4004455,59.12,Puzzles,Mechanical Puzzles,San Diego,California,credit
701,01-22-2011,4006345,176.43,Team Sports,Softball,McKinney,Texas,credit
702,03-15-2011,4002137,74.31,Outdoor Play Equipment,Playhouses,Memphis,Tennessee,credit
703,09-09-2011,4002033,78.53,Outdoor Recreation,Rock Climbing,Sacramento,California,credit
704,04-19-2011,4003155,64.02,Exercise & Fitness,Medicine Balls,Baltimore,Maryland,credit
705,12-20-2011,4009269,166.18,Winter Sports,Downhill Skiing,Bellevue,Washington,credit
706,12-16-2011,4005066,15.19,Combat Sports,Martial Arts,Gilbert,Arizona,credit
707,07-29-2011,4005974,43.05,Winter Sports,Luge,Kansas City,Missouri,credit
708,03-31-2011,4008581,144.13,Gymnastics,Pommel Horses,Honolulu  ,Hawaii,credit
709,03-23-2011,4007400,84.97,Outdoor Recreation,Skateboarding,Cincinnati,Ohio,credit
710,10-25-2011,4002436,93.09,Outdoor Recreation,Deck Shuffleboard,Pasadena,Texas,credit
711,01-30-2011,4003785,20.98,Games,Card Games,Philadelphia,Pennsylvania,credit
712,09-18-2011,4007459,16.84,Jumping,Trampolines,Columbia,South Carolina,credit
713,05-16-2011,4000986,56.9,Winter Sports,Snowshoeing,Philadelphia,Pennsylvania,credit
714,01-26-2011,4003360,81.15,Puzzles,Jigsaw Puzzles,Vancouver,Washington,credit
715,03-13-2011,4008114,22.24,Team Sports,Rugby,Cambridge,Massachusetts,credit
716,02-11-2011,4004387,101.8,Team Sports,Basketball,Plano,Texas,credit
717,06-03-2011,4008962,37.82,Water Sports,Towed Water Sports,Springfield,Illinois,credit
718,04-01-2011,4003347,172.84,Water Sports,Surfing,Detroit,Michigan,credit
719,09-30-2011,4007791,122.53,Jumping,Trampoline Accessories,Long Beach,California,credit
720,01-15-2011,4009634,111.71,Team Sports,Football,Everett,Washington,credit
721,04-08-2011,4007974,43.67,Exercise & Fitness,Stopwatches,Kansas City,Missouri,credit
722,01-15-2011,4002740,60.48,Exercise & Fitness,Weightlifting Machine Accessories,Montgomery,Alabama,credit
723,03-15-2011,4005928,21.73,Jumping,Jumping Stilts,Columbus,Ohio,credit
724,12-27-2011,4001682,104.29,Water Sports,Scuba Diving & Snorkeling,Columbus,Georgia,credit
725,06-06-2011,4002132,97.14,Outdoor Play Equipment,Water Tables,Madison,Wisconsin,credit
726,01-22-2011,4004966,97.38,Outdoor Recreation,Motorsports,Dayton,Ohio,credit
727,10-02-2011,4003960,61.58,Exercise & Fitness,Weightlifting Gloves,Coral Springs,Florida,credit
728,08-03-2011,4005605,186.73,Racquet Sports,Tennis,Des Moines,Iowa,credit
729,04-12-2011,4004416,164.97,Racquet Sports,Badminton,Washington,District of Columbia,credit
730,03-21-2011,4005670,70.42,Team Sports,Team Handball,Orlando,Florida,credit
731,05-23-2011,4003734,5.82,Games,Dice Games,Lincoln,Nebraska,credit
732,08-21-2011,4004722,50.03,Racquet Sports,Squash,Midland,Texas,credit
733,11-30-2011,4004497,62.78,Water Sports,Whitewater Rafting,Charleston,South Carolina,credit
734,07-08-2011,4007020,170.26,Water Sports,Water Tubing,Columbus,Ohio,credit
735,04-20-2011,4006306,76.1,Gymnastics,Springboards,Boise,Idaho,credit
736,03-17-2011,4004036,18.36,Indoor Games,Air Hockey,Tampa,Florida,credit
737,07-23-2011,4006137,38.84,Air Sports,Hang Gliding,Irvine,California,credit
738,04-17-2011,4003845,164.82,Water Sports,Kitesurfing,Oakland,California,credit
739,10-15-2011,4009890,114.28,Exercise & Fitness,Cardio Machine Accessories,Reno,Nevada,credit
740,06-22-2011,4003754,156.94,Exercise & Fitness,Cardio Machines,Durham,North Carolina,credit
741,08-04-2011,4003153,27.46,Gymnastics,Gymnastics Mats,McKinney,Texas,cash
742,11-17-2011,4000405,99.1,Team Sports,Hockey,Everett,Washington,credit
743,01-18-2011,4002696,66.83,Combat Sports,Fencing,Gilbert,Arizona,credit
744,11-04-2011,4002943,156.81,Team Sports,Soccer,San Jose,California,credit
745,05-17-2011,4009339,112.07,Games,Dice Games,Santa Ana,California,credit
746,08-26-2011,4008757,5.19,Exercise & Fitness,Weightlifting Gloves,McKinney,Texas,cash
747,01-24-2011,4006724,179.37,Combat Sports,Fencing,Hampton  ,Virginia,credit
748,02-01-2011,4001658,120.56,Winter Sports,Snowshoeing,Newark,New Jersey,credit
749,07-23-2011,4000377,176.67,Winter Sports,Snowmobiling,Lexington,Kentucky,credit
750,01-22-2011,4005321,120.82,Outdoor Recreation,Skateboarding,Columbia,Missouri,credit
751,06-29-2011,4009478,93.42,Exercise & Fitness,Weight Benches,Los Angeles,California,credit
752,11-28-2011,4008160,174.89,Winter Sports,Snowboarding,Fremont,California,credit
753,12-03-2011,4001420,18.7,Puzzles,Jigsaw Puzzles,San Francisco,California,cash
754,03-25-2011,4009826,17.62,Water Sports,Bodyboarding,San Jose,California,cash
755,09-02-2011,4009695,115.18,Outdoor Play Equipment,Playhouses,Reno,Nevada,credit
756,06-16-2011,4004424,103.99,Indoor Games,Table Shuffleboard,Overland Park,Kansas,credit
757,09-06-2011,4005228,59.63,Team Sports,Team Handball,El Paso,Texas,credit
758,02-05-2011,4006665,42.35,Outdoor Recreation,Skating,Baltimore,Maryland,cash
759,08-06-2011,4003847,64.52,Combat Sports,Martial Arts,Colorado Springs,Colorado,credit
760,07-27-2011,4005749,156.7,Racquet Sports,Squash,Sunnyvale,California,credit
761,10-15-2011,4001159,148.41,Winter Sports,Snowshoeing,Madison,Wisconsin,credit
762,10-03-2011,4009584,124.06,Water Sports,Windsurfing,Nashville  ,Tennessee,credit
763,07-28-2011,4007187,174.64,Indoor Games,Foosball,Charleston,South Carolina,credit
764,09-11-2011,4004498,50.44,Water Sports,Scuba Diving & Snorkeling,Paterson,New Jersey,credit
765,01-23-2011,4001131,141.21,Outdoor Recreation,Tetherball,Gilbert,Arizona,credit
766,01-10-2011,4002182,109.4,Air Sports,Parachutes,Stamford,Connecticut,credit
767,01-21-2011,4007103,176.49,Outdoor Recreation,Deck Shuffleboard,Washington,District of Columbia,credit
768,05-26-2011,4009972,186.44,Dancing,Ballet Bars,Salem,Oregon,credit
769,10-07-2011,4009288,94.1,Outdoor Play Equipment,Lawn Water Slides,Denton,Texas,credit
770,09-06-2011,4008108,180.41,Outdoor Recreation,Track & Field,Coral Springs,Florida,credit
771,06-19-2011,4000761,118.24,Outdoor Recreation,Lawn Games,Lexington,Kentucky,credit
772,04-16-2011,4009766,97.89,Outdoor Recreation,Track & Field,Phoenix,Arizona,credit
773,12-18-2011,4007435,108.5,Jumping,Trampolines,Durham,North Carolina,credit
774,12-22-2011,4005411,60.31,Outdoor Play Equipment,Sandboxes,Reno,Nevada,credit
775,11-07-2011,4003522,194.09,Racquet Sports,Badminton,Richmond  ,Virginia,credit
776,02-04-2011,4007298,56.06,Games,Bingo Sets,Denver  ,Colorado,credit
777,01-12-2011,4004502,176.92,Jumping,Pogo Sticks,West Valley City,Utah,credit
778,04-08-2011,4006179,62.37,Combat Sports,Fencing,Bellevue,Washington,credit
779,11-14-2011,4003294,92.22,Outdoor Play Equipment,Slides,Miami,Florida,credit
780,03-30-2011,4001028,49.21,Outdoor Recreation,Skateboarding,Huntsville,Alabama,cash
781,10-01-2011,4003064,154.68,Water Sports,Kitesurfing,Gilbert,Arizona,credit
782,09-03-2011,4002687,180.14,Indoor Games,Bowling,Cincinnati,Ohio,credit
783,12-22-2011,4000805,5.35,Combat Sports,Fencing,Columbia,Missouri,cash
784,02-20-2011,4002002,94.45,Indoor Games,Air Hockey,St. Petersburg,Florida,credit
785,10-20-2011,4003199,10.43,Indoor Games,Darts,Columbus,Georgia,cash
786,07-25-2011,4000235,118.96,Exercise & Fitness,Weightlifting Gloves,Chattanooga,Tennessee,credit
787,07-15-2011,4006112,17.86,Winter Sports,Downhill Skiing,Seattle,Washington,cash
788,08-02-2011,4005816,189.58,Games,Poker Chips & Sets,Orlando,Florida,credit
789,09-09-2011,4007398,6.21,Jumping,Trampoline Accessories,Irvine,California,cash
790,08-30-2011,4003727,29.45,Jumping,Jumping Stilts,Baltimore,Maryland,cash
791,06-19-2011,4008771,31.52,Team Sports,Softball,Durham,North Carolina,cash
792,08-19-2011,4006510,169.65,Team Sports,Softball,Reno,Nevada,credit
793,01-18-2011,4002371,9.66,Team Sports,Soccer,Richmond  ,Virginia,cash
794,04-10-2011,4000988,32.18,Water Sports,Boating,Chattanooga,Tennessee,cash
795,12-16-2011,4008303,192.07,Jumping,Pogo Sticks,Westminster,Colorado,credit
796,02-06-2011,4005307,137.12,Outdoor Recreation,Running,Dallas,Texas,credit
797,09-02-2011,4008869,63.5,Outdoor Recreation,Tetherball,Flint,Michigan,credit
798,11-07-2011,4008753,125.58,Combat Sports,Martial Arts,Lexington,Kentucky,credit
799,03-05-2011,4000815,121.83,Indoor Games,Billiards,Reno,Nevada,credit
800,09-02-2011,4009137,9.01,Games,Dice & Dice Sets,Colorado Springs,Colorado,credit
801,10-30-2011,4004054,99.22,Exercise & Fitness,Stopwatches,Coral Springs,Florida,credit
802,09-24-2011,4004528,20.34,Racquet Sports,Badminton,Kansas City,Kansas,credit
803,01-17-2011,4007314,193.32,Team Sports,Rugby,Paterson,New Jersey,credit
804,04-17-2011,4006677,66.2,Exercise & Fitness,Exercise Balls,Richmond  ,Virginia,credit
805,03-22-2011,4000072,103.62,Water Sports,Towed Water Sports,Everett,Washington,credit
806,04-27-2011,4001365,8.1,Jumping,Pogo Sticks,Atlanta,Georgia,credit
807,11-18-2011,4008471,96.37,Team Sports,Baseball,Alexandria  ,Virginia,credit
808,12-25-2011,4009395,131.43,Exercise & Fitness,Weightlifting Belts,Lexington,Kentucky,credit
809,05-10-2011,4007536,63.83,Winter Sports,Snowshoeing,Gilbert,Arizona,credit
810,07-09-2011,4003222,180.84,Combat Sports,Boxing,Houston,Texas,credit
811,03-02-2011,4003783,60.86,Water Sports,Wetsuits,Westminster,Colorado,credit
812,12-03-2011,4006383,111.66,Gymnastics,Gymnastics Rings,New Orleans,Louisiana,credit
813,05-09-2011,4005925,12.71,Water Sports,Towed Water Sports,San Diego,California,credit
814,05-27-2011,4008287,14.03,Exercise & Fitness,Weightlifting Machines,Los Angeles,California,credit
815,09-02-2011,4008388,79.39,Exercise & Fitness,Free Weight Bars,Fremont,California,credit
816,09-29-2011,4004751,199.07,Water Sports,Scuba Diving & Snorkeling,Detroit,Michigan,credit
817,11-01-2011,4006279,182.88,Outdoor Recreation,Motorsports,Omaha,Nebraska,credit
818,05-26-2011,4009682,57.51,Gymnastics,Gymnastics Mats,Miami,Florida,credit
819,02-16-2011,4006938,158.49,Water Sports,Swimming,Lowell,Massachusetts,credit
820,08-21-2011,4008714,50.98,Combat Sports,Martial Arts,Eugene,Oregon,credit
821,02-03-2011,4008368,44.18,Gymnastics,Gymnastics Bars,Baltimore,Maryland,credit
822,06-22-2011,4002351,96.85,Games,Dominoes,Montgomery,Alabama,credit
823,09-09-2011,4000669,178.77,Exercise & Fitness,Weight Benches,Oklahoma City,Oklahoma,credit
824,09-19-2011,4002094,30.18,Racquet Sports,Squash,Lexington,Kentucky,credit
825,09-18-2011,4001121,59.77,Jumping,Pogo Sticks,Stamford,Connecticut,credit
826,08-06-2011,4006249,175.9,Team Sports,Softball,Long Beach,California,credit
827,11-02-2011,4006107,83.5,Team Sports,Indoor Volleyball,Montgomery,Alabama,credit
828,07-05-2011,4001540,45.13,Games,Portable Electronic Games,Dallas,Texas,credit
829,10-12-2011,4002191,97.77,Indoor Games,Darts,Memphis,Tennessee,credit
830,01-20-2011,4009368,187.43,Winter Sports,Downhill Skiing,San Diego,California,credit
831,09-23-2011,4003989,91.55,Winter Sports,Snowshoeing,Chattanooga,Tennessee,credit
832,03-16-2011,4000636,177.89,Gymnastics,Pommel Horses,Lowell,Massachusetts,credit
833,11-14-2011,4008949,40.32,Outdoor Play Equipment,Playhouses,Kansas City,Kansas,credit
834,08-31-2011,4001641,123.87,Gymnastics,Vaulting Horses,Detroit,Michigan,credit
835,09-06-2011,4000819,149.5,Combat Sports,Martial Arts,Miami,Florida,credit
836,07-05-2011,4008285,147.71,Outdoor Recreation,Shooting Games,Colorado Springs,Colorado,credit
837,06-22-2011,4004947,98.11,Combat Sports,Fencing,Columbus,Georgia,credit
838,01-16-2011,4005914,13.36,Team Sports,Indoor Volleyball,Coral Springs,Florida,credit
839,03-16-2011,4002897,43.66,Exercise & Fitness,Exercise Balls,New York,New York,credit
840,05-27-2011,4009777,199.17,Puzzles,Jigsaw Puzzles,San Francisco,California,credit
841,11-07-2011,4001805,108.42,Water Sports,Life Jackets,Gresham,Oregon,credit
842,05-28-2011,4009803,88.7,Games,Card Games,Centennial,Colorado,credit
843,11-12-2011,4002891,51.28,Indoor Games,Billiards,Vancouver,Washington,credit
844,04-11-2011,4004229,45.5,Gymnastics,Springboards,Las Vegas,Nevada,cash
1824,05-08-2011,4004962,69.68,Indoor Games,Foosball,Lexington,Kentucky,credit
1825,06-02-2011,4000734,13.6,Water Sports,Wetsuits,Seattle,Washington,credit
1826,05-13-2011,4002057,189.45,Games,Card Games,Cambridge,Massachusetts,credit
1827,06-23-2011,4008716,83.35,Outdoor Recreation,Deck Shuffleboard,Everett,Washington,credit
1828,04-26-2011,4005965,180.59,Games,Card Games,Columbia,Missouri,credit
1829,06-21-2011,4008307,129.89,Water Sports,Whitewater Rafting,Tampa,Florida,credit
1830,07-07-2011,4004164,94.22,Water Sports,Bodyboarding,Saint Paul,Minnesota,credit
1831,08-25-2011,4002450,114.22,Exercise & Fitness,Free Weight Bars,Gresham,Oregon,credit
1832,06-04-2011,4006613,180.24,Indoor Games,Foosball,San Jose,California,credit
1833,02-24-2011,4000042,10.03,Water Sports,Towed Water Sports,Des Moines,Iowa,credit
1834,08-27-2011,4003455,135.1,Indoor Games,Bowling,Bellevue,Washington,credit
1835,11-01-2011,4006294,116.34,Team Sports,Soccer,Honolulu  ,Hawaii,credit
1836,11-12-2011,4005884,37.73,Games,Bingo Sets,Scottsdale,Arizona,credit
1837,08-10-2011,4002927,25.48,Outdoor Recreation,Equestrian,Bellevue,Washington,credit
1838,05-27-2011,4005899,77.36,Water Sports,Water Tubing,Westminster,Colorado,credit
1839,01-12-2011,4000214,50.78,Gymnastics,Gymnastics Bars,Denton,Texas,credit
1840,07-05-2011,4002324,8.2,Indoor Games,Darts,Denton,Texas,credit
1841,09-06-2011,4001493,46.78,Racquet Sports,Tennis,St. Petersburg,Florida,cash
1842,02-14-2011,4001678,12.7,Water Sports,Towed Water Sports,Boston,Massachusetts,cash
1843,03-25-2011,4002650,194.4,Outdoor Recreation,Hunting,Los Angeles,California,credit
1844,08-18-2011,4001889,174.26,Air Sports,Parachutes,Plano,Texas,credit
1845,12-26-2011,4006583,93.5,Outdoor Play Equipment,Water Tables,Bellevue,Washington,credit
1846,09-29-2011,4009011,71.18,Outdoor Recreation,Tetherball,Pasadena,California,credit
1847,11-18-2011,4000178,127.17,Exercise & Fitness,Exercise Balls,Reno,Nevada,credit
1848,04-11-2011,4006646,50.57,Water Sports,Water Polo,Irvine,California,credit
1849,05-26-2011,4003543,109.24,Team Sports,Football,Montgomery,Alabama,credit
1850,11-26-2011,4007383,46.4,Outdoor Recreation,Rock Climbing,Buffalo,New York,cash
1851,04-26-2011,4003211,133.41,Exercise & Fitness,Medicine Balls,San Jose,California,credit
1852,05-12-2011,4004879,79.83,Games,Dominoes,Philadelphia,Pennsylvania,credit
1853,03-30-2011,4004451,62.0,Water Sports,Scuba Diving & Snorkeling,Overland Park,Kansas,credit
1854,02-04-2011,4007721,149.8,Outdoor Recreation,Motorsports,Pasadena,Texas,credit
1855,05-21-2011,4004476,81.82,Water Sports,Swimming,Oakland,California,credit
1856,05-18-2011,4003378,91.7,Jumping,Bungee Jumping,Coral Springs,Florida,credit
1857,09-21-2011,4006534,110.77,Outdoor Recreation,Archery,Indianapolis ,Indiana,credit
1858,04-04-2011,4000360,159.52,Air Sports,Air Suits,Long Beach,California,credit
1859,04-25-2011,4004389,117.7,Outdoor Recreation,Running,Jacksonville ,Florida,credit
1860,10-08-2011,4008055,11.57,Indoor Games,Bowling,Chattanooga,Tennessee,cash
1861,06-06-2011,4007617,149.96,Team Sports,Rugby,Los Angeles,California,credit
1862,01-29-2011,4008978,133.11,Exercise & Fitness,Weightlifting Gloves,Tampa,Florida,credit
1863,05-09-2011,4005171,151.86,Team Sports,Baseball,Indianapolis ,Indiana,credit
1864,08-14-2011,4001253,191.44,Outdoor Recreation,Motorsports,Columbus,Ohio,credit
1865,03-11-2011,4004991,8.64,Team Sports,Lacrosse,Houston,Texas,cash
1866,11-18-2011,4005271,160.28,Games,Dice & Dice Sets,Baltimore,Maryland,credit
1867,10-29-2011,4004587,24.52,Air Sports,Hang Gliding,Indianapolis ,Indiana,cash
1868,04-15-2011,4009786,187.71,Water Sports,Wetsuits,Oakland,California,credit
1869,03-17-2011,4005296,91.88,Jumping,Bungee Jumping,Buffalo,New York,credit
1870,07-30-2011,4004951,12.58,Outdoor Play Equipment,Slides,Minneapolis,Minnesota,cash
1871,04-20-2011,4008205,52.82,Indoor Games,Ping Pong,San Diego,California,credit
1872,12-27-2011,4005226,168.49,Team Sports,Rugby,Lexington,Kentucky,credit
1873,03-09-2011,4007257,36.44,Air Sports,Hang Gliding,Jackson,Mississippi,cash
1874,08-02-2011,4003738,106.31,Jumping,Trampoline Accessories,Saint Paul,Minnesota,credit
1875,08-29-2011,4001889,44.25,Exercise & Fitness,Weightlifting Machine Accessories,Columbia,Missouri,cash
1876,03-08-2011,4001261,67.27,Outdoor Recreation,Deck Shuffleboard,Long Beach,California,credit
1877,01-08-2011,4009609,153.25,Exercise & Fitness,Weightlifting Machine Accessories,Fremont,California,credit
1878,02-01-2011,4008319,7.76,Exercise & Fitness,Exercise Bands,Dayton,Ohio,cash
1879,06-23-2011,4002808,13.32,Combat Sports,Wrestling,Brownsville,Texas,cash
1880,10-05-2011,4008220,90.34,Jumping,Jumping Stilts,Long Beach,California,credit
1881,11-08-2011,4008136,133.74,Exercise & Fitness,Medicine Balls,Lexington,Kentucky,credit
1882,03-09-2011,4002320,56.37,Outdoor Recreation,Riding Scooters,Seattle,Washington,credit
1883,06-04-2011,4002808,31.96,Games,Poker Chips & Sets,Rockford,Illinois,cash
1884,09-28-2011,4009949,56.43,Outdoor Play Equipment,Sandboxes,Saint Paul,Minnesota,credit
1885,05-19-2011,4005837,121.7,Racquet Sports,Tennis,Durham,North Carolina,credit
1886,10-07-2011,4009940,71.45,Puzzles,Jigsaw Puzzles,Irving,Texas,credit
1887,04-11-2011,4006918,154.34,Team Sports,Cheerleading,Everett,Washington,credit
1888,01-25-2011,4004574,39.76,Winter Sports,Cross-Country Skiing,Lexington,Kentucky,cash
1889,11-01-2011,4003079,42.17,Exercise & Fitness,Weightlifting Gloves,Pasadena,Texas,cash
1890,12-23-2011,4003385,26.83,Exercise & Fitness,Jump Ropes,Anaheim,California,cash
1891,11-27-2011,4006061,144.0,Exercise & Fitness,Weightlifting Belts,Orlando,Florida,credit
1892,08-26-2011,4003052,36.21,Games,Poker Chips & Sets,Philadelphia,Pennsylvania,cash
1893,07-24-2011,4004399,107.59,Outdoor Recreation,Golf,Sacramento,California,credit
1894,03-07-2011,4001557,75.1,Indoor Games,Ping Pong,San Diego,California,credit
1895,08-22-2011,4009138,11.54,Team Sports,Softball,Springfield,Illinois,cash
1896,08-12-2011,4006248,11.93,Water Sports,Bodyboarding,Boise,Idaho,cash
1897,10-25-2011,4007668,26.23,Racquet Sports,Tennis,Omaha,Nebraska,cash
1898,03-24-2011,4001245,43.73,Exercise & Fitness,Stopwatches,Jacksonville ,Florida,cash
1899,07-09-2011,4009543,97.81,Outdoor Play Equipment,Lawn Water Slides,Portland,Oregon,credit
1900,10-18-2011,4007654,74.67,Exercise & Fitness,Jump Ropes,Anaheim,California,credit
1901,04-26-2011,4006703,16.62,Outdoor Recreation,Lawn Games,Irvine,California,credit
1902,09-09-2011,4005956,5.1,Water Sports,Water Tubing,Atlanta,Georgia,credit
1903,06-01-2011,4006018,47.73,Winter Sports,Sledding,Eugene,Oregon,credit
1904,06-28-2011,4002345,64.73,Winter Sports,Cross-Country Skiing,St. Petersburg,Florida,credit
1905,02-10-2011,4008463,80.47,Team Sports,Indoor Volleyball,Fremont,California,credit
